C178	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C179..C182	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C183	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C184..C187	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C188,C189	Конденсатор 0402-2.2±0.25пФ-50V-NP0 Yageo, CC0402CRNPO9BN2R2	2	Digi-Key: 311-1354-1-ND
C190..C196	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	7	Digi-Key: 490-3261-1-ND
C197	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C198	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C199	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C200	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C201	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C202	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C203	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C204	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C205	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C206	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C207	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C208	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C209	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C210	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C211	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C212	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C213	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C214	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C215	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C216	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C217	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C218	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C219	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C220	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
